,Unnamed: 0,reviews,aircraft,Type of Traveler,Seat Type,Route,Date,Recommend
0,0,worst experience life trying deal customer service british airways many issues getting one destination absolutely horrible time trying get answers reach anyone capable helping navigate uncertainties wrote formal complaint requesting type refund received generic “we sorry” email 5000 avios attached equivalent maybe 50 600 flight needless say go waste refuse fly untrustworthy incompetent unorganized airline couldn’t even address one single issue expressed equivalent handing band aid slapping face say flight smooth onboard staff kind attentive frustrating thing customer service trained give runaround heavily point exhaustion give trying take loss,Null,Family Leisure,Economy Class,London to Denver,Mar-23,no
1,1,due code sharing cathay pacific downgraded ba return leg can’t describe cheated felt booked paid airline great entertainment food service instead forced go hungry one choice meal inedible ensure passengers didn’t get funny ideas assume vegetarian option unavailable might given cracker small packet nuts cabin crew announced uniquely aggressive dismissive way “you won’t get anything else 12 hours know” entertainment compiled mainly b movies paid £11 wifi could watch netflix laptop unsurprisingly signal weak couldn’t even send email add insult injury earbuds provided cheapest lowest quality ever seen since last time used airline crew less rude obnoxious impatient unhelpful don’t understand seems british airways look characteristics desirable attributes crew,Null,Solo Leisure,Economy Class,Hong Kong to London,Apr-23,no
2,2,lhr check quick first wing quickly security first lounge quiet change reasonably good breakfast buffet available ba brought back highlife magazine lounge seems used covid scrap magazines used offer part endless ba cost cutting toilets lounge disgusting ever cleaned frequently visit 20 years date public washrooms t5 better cleaner boarding usual ba muddled mess two gate staff appeared clue endless announcements gate full flight requesting passengers check bags get flight less 40 full onboard good welcome captain flight left gate 5 mins late breakfast 3 choices fair standard hot towels even packet towels offered club europe another part relentless ba cost cutting wouldnt mind fares proportionately lot higher pre covid cabin staff service perfunctory best scrap recognition ba gold oneworld emerald members clear proof ba really dont care breakfast trays cleared 45 mins flight sign staff stay front galley rest flight paid £499 1 hours wifi dropped connection next 40 mins sad note staff service ryanair pro active nowadays priority tagged suitcase came nearly last malaga standard ba business class baggage handling waste money club europe standards keep dropping,A320,Business,Business Class,Heathrow to Malaga,Apr-23,no
3,3,wouldnt recommend british airways tried call customer service 3 times different days time waited 30 minutes phone ended hanging excusing high volume calls write email still waiting 2 weeks website difficult navigate easy really invoice proof receipt look another service sent online dont receive pdf file need proof flight need screenshots flight flown access booking reprint document try create pdf need contact customer service online long waiting time wait week receive expensive poor almost inexistent customer service difficult use website airline definitely wouldnt recommend shame 2023 still position sleeping competitors around,Null,Family Leisure,Economy Class,Santorini to Gatwick,Mar-23,no
4,4,absolutely horrible experience booked ticket expedia british airways operated flight madrid belfast changeover london heathrow whole itinerary listed ba although madrid london flight iberia jan 22nd london experiencing cold fog iberian flight sat tarmac 2 hours madrid london weather upon landing terminal 3 take bus terminal 5 flight last flight belfast evening already taken ba desk swamped people many people spend night due weather british airways staff said could go book hotel 200 pounds would reimbursed barely able find room take expensive cab however trying get reimbursement ba said wasnt problem iberias problem iberia said reimburse due weather complaining ba said market flight ba refuse reimburse absolutely disgusting behavior airline take responsibility flight using name sell people dont want take responsibility expect take bus back terminal 3 people gave false information,Null,Solo Leisure,Economy Class,Madrid to Belfast via London,Jan-23,no
5,5,worst airline one thing went right don’t understand got bad late take gate arrived bags took 40 minutes arrive horrendous,Null,Business,Economy Class,Dublin to London,Apr-23,no
6,6,never fly british airways start plane 2 hours late weather reason given boarding process chaotic airport onto plane importantly although business class wasn’t really business class aisles —not separated way—in simply put tray middle seat one sits seats like rest extremely cramped uncomfortable could believe called business class,Null,Couple Leisure,Business Class,London to Venice,Mar-23,no
7,7,worst aircraft ever flown seats cramped uncomfortable considering flights cost well 1000each expected little space money husbands knees rubbing seat front 10 hour flight acceptable food disgusting inedible hot food breakfast vile would entertain using ba ground staff great it’s seating food offer lets airline expected much,A350,Couple Leisure,Economy Class,Las Vegas to London,Apr-23,no
8,8,enjoyed flight boarding swift service friendly professional food selection good enjoyed quality one downside landed issue ground crew ready t5 total landing getting doors open took 30 minutes believe heathrow t5 strike action week,A320,Solo Leisure,Business Class,Faro to Heathrow,Apr-23,yes
9,9,make hard lounge experience staff taking care boarding treated us disdain bordering contempt can’t training would fear anything happening “new” club world suites huge step old product really deliver comfort privacy crew professional personally found food menu rather odd essentially one main could handle told ran rows,Boeing 777,Couple Leisure,Business Class,London to Atlanta,Apr-23,no
